parlgov_id,country,year,tweet_count,retweet_total,populist,left_right,election_year,seats_per,gdp,pop
501,BEL,2018,8641,68874,0,6.5321,0,22,52249.8,11403740
502,ITA,2018,117,679,0,5.75,0,NA,42790.1,60421797
509,FRA,2018,4638,177614,0,6.1017,0,7.279029462738301,46398,66941698
512,POL,2018,18294,867880,0,6.2355,0,30,31471.2,38413139
520,ESP,2018,4930,129210,0,2.9117,0,0.5714285714285714,40542.2,46733038
521,LVA,2018,1184,10784,0,8.2588,1,13,30659.3,1927170
528,POL,2018,10123,315942,1,7.6997,0,51.08695652173913,31471.2,38413139
531,CHE,2018,1434,8831,0,4.7288,0,13.5,69357.5,8513227
543,DEU,2018,1867,53658,0,5.9233,0,11.283497884344149,54652.8,82914191
551,ESP,2018,4740,401316,0,6,0,1.4285714285714286,40542.2,46733038
581,LTU,2018,179,0,1,3.86,0,1.4184397163120568,35831.9,2801541
585,FIN,2018,738,2356,0,6.3906,0,4.5,49376.2,5515525
590,DNK,2018,784,3622,0,7.2186,0,3.35195530726257,57214.8,5789957
596,ITA,2018,20073,421676,1,7.1459,1,16.825396825396826,42790.1,60421797
602,CHE,2018,227,2664,0,4.9248,0,1,69357.5,8513227
629,POL,2018,2413,14070,0,2.8299,0,0,31471.2,38413139
645,ESP,2018,10683,1731028,0,7.5969,0,39.14285714285714,40542.2,46733038
647,NOR,2018,1470,416618,0,5.1467,0,4.733727810650888,67639.1,5311916
657,SWE,2018,2097,47105,0,7.8907,1,20.057306590257877,53746.8,10175214
658,FRA,2018,3522,593492,0,7.4997,0,19.410745233968804,46398,66941698
659,GBR,2018,2684,372354,0,4.2875,0,1.8461538461538465,46973.3,66435550
664,POL,2018,6768,109108,0,4.1856,0,3.4782608695652173,31471.2,38413139
686,FRA,2018,4224,238787,0,1.3741,0,1.733102253032929,46398,66941698
689,GBR,2018,9042,185908,1,1.3,0,1.0769230769230769,46973.3,66435550
701,LUX,2018,354,742,0,3.2895,1,16.666666666666664,116622.2,607950
706,SVN,2018,2213,12257,1,3.0637,1,11.11111111111111,38785.5,2070050
721,SWE,2018,1029,156156,0,NA,0,0,53746.8,10175214
723,BEL,2018,1945,14296,0,5.7667,0,12,52249.8,11403740
725,PRT,2018,773,1691,0,4.0492,0,37.391304347826086,34340.8,10283822
742,NLD,2018,685,26651,0,3.6118,0,6,57560.1,17231622
749,DNK,2018,16,69,0,1.835,0,NA,57214.8,5789957
750,CHE,2018,472,5041,1,7.3575,0,32.5,69357.5,8513227
756,NLD,2018,901,52820,0,2.0454,0,9.333333333333334,57560.1,17231622
757,ESP,2018,23361,4730178,0,3.1072,0,2.571428571428571,40542.2,46733038
769,AUT,2018,476,6868,0,0.5,0,0,56889.4,8837707
772,DEU,2018,1119,79357,0,2.9308,0,9.449929478138223,54652.8,82914191
773,GBR,2018,3054,384778,0,7.4261,0,48.92307692307693,46973.3,66435550
780,NOR,2018,41,71,1,7.4,0,0.6060606060606061,67639.1,5311916
791,DEU,2018,7334,336401,1,1.2152,0,9.732016925246826,54652.8,82914191
806,FIN,2018,529,3071,0,1.3,0,0,49376.2,5515525
808,DEU,2018,3856,63891,0,6.2503,0,28.20874471086037,54652.8,82914191
829,CZE,2018,2896,21326,0,7.3637,0,12.5,41049.3,10626430
845,ESP,2018,2689,118760,0,4.3115,0,2,40542.2,46733038
865,DEU,2018,10986,641661,0,NA,0,0,54652.8,82914191
873,FRA,2018,5487,355945,0,3.155,0,0.17331022530329288,46398,66941698
882,SWE,2018,2376,50027,0,1.5464,1,8.022922636103152,53746.8,10175214
892,SWE,2018,4371,104534,0,6.2906,1,5.730659025787966,53746.8,10175214
900,POL,2018,182,1115,0,NA,0,0.21739130434782608,31471.2,38413139
902,ESP,2018,13572,1785934,0,3.7377,0,24.285714285714285,40542.2,46733038
904,SWE,2018,3126,66934,0,3.4447,1,28.653295128939828,53746.8,10175214
915,BEL,2018,1679,13499,0,6.6889,0,13.333333333333334,52249.8,11403740
948,ROU,2018,554,26,0,6.016,0,6.382978723404255,29303.8,19471332
967,LUX,2018,241,17108,0,6.5789,1,20,116622.2,607950
969,BEL,2018,1688,5688,0,6.1259,0,1.3333333333333337,52249.8,11403740
973,AUT,2018,2296,47881,0,3.7293,0,28.415300546448087,56889.4,8837707
981,SVN,2018,443,46777,1,4.7941,1,4.444444444444445,38785.5,2070050
982,BGR,2018,1085,527,0,3.0064,0,NA,22670.5,7025037
984,MLT,2018,163,3097,0,5.7143,0,44.776119402985074,43763,483793
990,NLD,2018,1509,103727,0,NA,0,3.3333333333333335,57560.1,17231622
993,BEL,2018,1757,44876,1,9.6622,0,2,52249.8,11403740
1003,MLT,2018,295,33610,0,4.2105,0,55.223880597014926,43763,483793
1013,AUT,2018,1072,18975,0,6.4733,0,33.87978142076503,56889.4,8837707
1015,ROU,2018,1341,74,0,6.0543,0,20.972644376899694,29303.8,19471332
1023,GBR,2018,2425,32873,0,3.3,0,0.4615384615384616,46973.3,66435550
1030,ITA,2018,49,137,0,5.4,1,0.6349206349206349,42790.1,60421797
1045,LTU,2018,67,3,0,7.4004,0,21.98581560283688,35831.9,2801541
1047,SVN,2018,1194,6793,0,7.9345,1,7.777777777777778,38785.5,2070050
1048,ITA,2018,12,90,0,3.3,0,34.92063492063492,42790.1,60421797
1058,FRA,2018,1267,21843,0,6,0,2.079722703639515,46398,66941698
1062,FIN,2018,1634,18845,0,3.6465,0,7.5,49376.2,5515525
1104,POL,2018,114,711,0,5.2295,0,0.21739130434782608,31471.2,38413139
1110,BEL,2018,3811,66832,0,7.0053,0,9.333333333333334,52249.8,11403740
1118,FIN,2018,3184,43111,0,7.2451,0,18.5,49376.2,5515525
1131,DEU,2018,1231,31501,0,7.4,0,0,54652.8,82914191
1154,SWE,2018,622,13594,0,3.3789,1,4.584527220630372,53746.8,10175214
1180,DEU,2018,2919,27758,0,7.2871,0,6.488011283497884,54652.8,82914191
1192,BEL,2018,1097,4313,0,5.4974,0,6,52249.8,11403740
1206,NLD,2018,710,16440,0,6.1732,0,3.3333333333333335,57560.1,17231622
1210,GBR,2018,2158,81468,0,8.3,0,0.3076923076923077,46973.3,66435550
1213,CHE,2018,571,3646,0,7.4,0,3.5000000000000004,69357.5,8513227
1221,ESP,2018,1196,5689,0,7.1909,0,0.2857142857142857,40542.2,46733038
1234,LUX,2018,54,83,0,6.4474,1,35,116622.2,607950
1245,CZE,2018,1843,13894,0,5.8099,0,5,41049.3,10626430
1272,GBR,2018,2940,451967,1,7.8429,0,0,46973.3,66435550
1273,PRT,2018,1028,1205,0,6.2949,0,46.52173913043478,34340.8,10283822
1280,GRC,2018,203,292,0,2.5,0,0,30354.3,10725886
1284,GBR,2018,6928,1392752,0,3.5871,0,5.384615384615385,46973.3,66435550
1292,FIN,2018,1746,25214,0,2.1843,0,6,49376.2,5515525
1296,ITA,2018,408,17021,0,3.9732,0,2.857142857142857,42790.1,60421797
